108	Guayaquil	Ecuador	1952029	-2.16667	-79.9
109	Maracaibo	Venezuela	1948269	10.6317	-71.6406
110	Rabat	Morocco	1894386	34.0138	-6.84427
111	Jilin	China	1881977	43.8508	126.56
112	Hangzhou	China	1878129	30.2936	120.161
113	Bucharest	Romania	1877155	44.4333	26.1
114	Nanchang	China	1871351	28.55	115.933
115	Conakry	Guinea	1871185	9.50917	-13.7122
116	Brisbane	Australia	1843459	-27.471	153.024
117	Vancouver	Canada	1837970	49.25	-123.133
118	Indore	India	1837230	22.7167	75.8333
119	Caracas	Venezuela	1815681	10.5	-66.9167
120	Ecatepec	Mexico	1806297	19.6011	-99.0525
121	Medan	Indonesia	1751190	3.58333	98.6667
122	Rawalpindi	Pakistan	1743599	33.6007	73.0679
123	Minsk	Belarus	1742123	53.9	27.5667
124	Hamburg	Germany	1733846	53.55	10
125	Curitiba	Brazil	1718433	-25.4167	-49.25
126	Budapest	Hungary	1708088	47.5	19.0833
127	Bandung	Indonesia	1699822	-6.90389	107.619
128	Soweto	South Africa	1695094	-26.2678	27.8585
129	Warsaw	Poland	1651676	52.25	21
130	Qingdao	China	1642245	36.0986	120.372
131	Guadalajara	Mexico	1640649	20.6667	-103.333
132	Pretoria	South Africa	1619485	-25.7069	28.2294
133	Patna	India	1600085	25.6	85.1167
134	Bhopal	India	1600080	23.2667	77.4
135	Manaus	Brazil	1598227	-3.11333	-60.0253
136	Xinyang	China	1590668	32.0958	114.12
137	Kaduna	Nigeria	1582211	10.5222	7.43828
138	Damascus	Syria	1576843	33.5	36.3
139	Phnum Pénh	Cambodia	1573523	11.55	104.917
140	Barcelona	Spain	1570378	41.3984	2.1741
141	Vienna	Austria	1569315	48.2	16.3667
142	Esfahan	Iran	1547241	32.6572	51.6776
143	Ludhiana	India	1545476	30.9	75.85
144	Kobe	Japan	1528487	34.6913	135.183
145	Bekasi	Indonesia	1520204	-6.2349	106.99
146	Kaohsiung	Taiwan	1512832	22.6178	120.301
147	Kaohsiung	Taiwan	1512832	22.6333	120.35
148	Ürümqi	China	1508225	43.801	87.6005
149	Thana	India	1486453	19.2	72.9667
150	Recife	Brazil	1478118	-8.05	-34.9
151	Kumasi	Ghana	1468797	6.68333	-1.61667
152	Kuala Lumpur	Malaysia	1453978	3.16667	101.7
153	Philadelphia	United States	1453268	39.9522	-75.1642
154	Karaj	Iran	1448996	35.8355	51.0103
155	Perth	Australia	1446715	-31.9522	115.861
156	Cordoba	Argentina	1441007	-31.4135	-64.1811
157	Multan	Pakistan	1437644	30.1956	71.4753
158	Hanoi	Viet Nam	1431377	21.0333	105.85
159	Agra	India	1430194	27.1833	78.0167
160	Phoenix	United States	1428509	33.4483	-112.073
161	Tabriz	Iran	1424701	38.08	46.2919
162	Novosibirsk	Russian Federation	1419016	55.0415	82.9346
163	Lanzhou	China	1417742	36.0564	103.792
164	Bursa	Turkey	1413485	40.1917	29.0611
165	Vadodara	India	1409565	22.3	73.2
166	Belém	Brazil	1407737	-1.45	-48.4833
167	Juarez	Mexico	1403025	31.7333	-106.483
168	Fushun	China	1400646	41.7	123.883
169	Quito	Ecuador	1399814	-0.216667	-78.5
170	Puebla	Mexico	1392137	19.05	-98.2
171	Antananarivo	Madagascar	1391506	-18.9167	47.5167
172	Luoyang	China	1390581	34.6836	112.454
173	Hefei	China	1388904	31.8639	117.281
174	Hyderabad	Pakistan	1386840	25.3924	68.3737
175	Valencia	Venezuela	1385202	10.1806	-68.0039
176	Gujranwala	Pakistan	1384869	32.1617	74.1883
177	Barranquilla	Colombia	1380437	10.9639	-74.7964
178	Tijuana	Mexico	1376494	32.5333	-117.017
179	Lubumbashi	Congo-Kinshasa	1374808	-11.6667	27.4667
180	Porto Alegre	Brazil	1372763	-30.0333	-51.2
181	Tangerang	Indonesia	1372185	-6.17806	106.63
182	Handan	China	1358318	36.5667	114.533
183	Kampala	Uganda	1353236	0.315556	32.5656
184	Suzhou	China	1343091	31.3114	120.618
185	Khulna	Bangladesh	1342429	22.8	89.55
186	Douala	Cameroon	1338144	4.05028	9.7
187	Makasar	Indonesia	1321832	-5.14	119.422
188	Kawasaki	Japan	1306804	35.5206	139.717
189	Montevideo	Uruguay	1305865	-34.8581	-56.1708
190	Yaoundé	Cameroon	1299446	3.86667	11.5167
191	Bamako	Mali	1297390	12.65	-8
192	Semarang	Indonesia	1288221	-6.9932	110.42
193	Yekaterinburg	Russian Federation	1287586	56.8519	60.6122
194	San Diego	United States	1287050	32.7153	-117.156
195	Pimpri	India	1284702	18.6167	73.8
196	Nizhniy Novgorod	Russian Federation	1284176	56.3269	44.0075
197	Faridabad	India	1280909	28.4333	77.3167
198	Lusaka	Zambia	1267458	-15.4167	28.2833
199	Kalyan	India	1262355	19.25	73.15
200	San Antonio	United States	1256810	29.4239	-98.4933
201	Stockholm	Sweden	1253309	59.3333	18.05
202	Bayrut	Lebanon	1252010	33.8719	35.5097
203	Shiraz	Iran	1249972	29.6036	52.5388
204	Adana	Turkey	1249680	37.0017	35.3289
205	Munich	Germany	1246133	48.15	11.5833
206	Palembang	Indonesia	1241334	-2.91667	104.75
207	Port-au-Prince	Haiti	1234750	18.5392	-72.335
208	Nezahualcóyotl	Mexico	1232565	19.4136	-99.0331
209	Peshawar	Pakistan	1219248	34.008	71.5785
210	Rosario	Argentina	1218497	-32.9468	-60.6393
211	Davao	Philippines	1212285	7.07306	125.613
212	Dallas	United States	1211704	32.7833	-96.8
213	Mandalay	Myanmar	1208227	22	96.0833
214	Almaty	Kazakhstan	1204820	43.25	76.95
215	Mecca	Saudi Arabia	1199659	21.4267	39.8261
216	Ghaziabad	India	1199306	28.6667	77.4333
217	Anshan	China	1199275	41.1236	122.99
218	Xuzhou	China	1199193	34.1805	117.157
219	Depok	Indonesia	1198195	-6.34333	106.499
220	Maputo	Mozambique	1191613	-25.9653	32.5892
221	Freetown	Sierra Leone	1190761	8.49	-13.2342
222	Fuzhou	China	1179720	26.0614	119.306
223	Rajkot	India	1177434	22.3	70.7833
224	Guiyang	China	1171633	26.5833	106.717
225	Goiânia	Brazil	1171209	-16.6667	-49.2667
226	Guarulhos	Brazil	1169601	-23.4507	-46.5262
227	Varanasi	India	1164520	25.3333	83
228	Fez	Morocco	1160239	34.0372	-4.9998
229	Milan	Italy	1156903	45.4667	9.2
230	Prague	Czech Republic	1154508	50.0833	14.4667
231	Tripoli	Libya	1150990	32.8925	13.18
232	Port Harcourt	Nigeria	1148753	4.77742	7.0134
233	Hiroshima	Japan	1143850	34.4348	132.741
234	Managua	Nicaragua	1140499	12.1508	-86.2683
235	Dubai	United Arab Emirates	1137376	25.2582	55.3047
236	Samara	Russian Federation	1134742	53.1835	50.1182
237	Omsk	Russian Federation	1129289	55	73.4
238	Bénin	Nigeria	1125126	6.33505	5.62749
239	Monterrey	Mexico	1122912	25.6667	-100.317
240	Baku	Azerbaijan	1116513	40.3953	49.8822
241	Brazzaville	Congo	1115773	-4.25917	15.2847
242	Belgrade	Serbia	1115200	44.8186	20.4681
243	León	Mexico	1114662	21.1167	-101.667
244	Maiduguri	Nigeria	1112511	11.8464	13.1603
245	Wuxi	China	1108647	31.5689	120.289
246	Kazan	Russian Federation	1104750	55.7887	49.1221
247	Yerevan	Armenia	1093499	40.1811	44.5136
248	Amritsar	India	1092528	31.6331	74.8656
249	Copenhagen	Denmark	1089958	55.6667	12.5833
250	Taichung	Taiwan	1083582	24.1433	120.681
251	Saitama	Japan	1077730	35.8955	139.677
252	Rostov-na-Donu	Russian Federation	1074495	47.2313	39.7233
253	Adelaide	Australia	1074168	-34.9287	138.599
254	Allahabad	India	1073544	25.45	81.85
255	Gaziantep	Turkey	1066561	37.0594	37.3825
256	Visakhapatnam	India	1063293	17.7	83.3
